conc,fret1,fret2,fret3
18500,108949.653,133910.376,121275.645
11100,118606.802,128210.453,126423.227
6660,112965.859,144684.32,130952.467
3996,112035.398,128605.909,127023.13
2397.6,102380.423,112036.031,116731.872
1438.56,91591.2256,97807.2742,97765.8184
863.136,67398.6388,73424.1312,62618.503
517.8816,56858.2617,52798.961,49197.0011
310.72896,37218.9402,35896.3369,32961.4266
186.437376,25788.7091,20370.1414,23906.2372
111.8624256,16899.0761,13453.7876,15121.1777
67.11745536,11164.3703,10293.5822,9253.33775
40.27047322,7728.30307,6984.42847,6134.33795
24.16228393,4872.77261,5299.89941,4294.85437
14.49737036,3271.69016,4396.82534,2272.77085
8.698422215,2302.35961,2236.915,1703.63061
5.219053329,1597.34297,3058.09659,1345.38029
3.131431997,1196.20805,1057.96399,932.138906
1.878859198,411.357911,1680.42277,612.318517
1.127315519,1079.46457,932.676029,0
0.676389311,91.8592411,960.83638,311.21987
0.405833587,531.057598,495.593303,275.693957
0,471.574981,1169.26546,901.865157
0,0,0,605.110349
