conc,fp1,fp2
1000,235,239.6
600,194.9,238.7
360,170.8,196.7
216,146.7,187.3
129.6,136.7,166.7
77.76,115.3,141.3
46.656,90.1,112.8
27.9936,77.6,97.6
16.79616,79.1,85.4
10.077696,75.9,78.2
6.0466176,66.6,72.6
3.62797056,77.9,75
2.176782336,69.6,65.6
1.306069402,67.4,71.7
0.783641641,68.4,72.8
0.470184985,71,73.8
0.282110991,61.7,64
0.169266594,67.7,72.4
0.101559957,62.7,72
0.060935974,62.7,68.3
0.036561584,69.9,72.5
0.021936951,69.9,64
0,72.1,66.3
0,66.1,56.2
