conc,fp1,fp2
1000,221.4,218.1
600,203.9,201.7
360,189.8,170.2
216,166.2,158.6
129.6,137.9,122.4
77.76,117.4,106.3
46.656,98,93.8
27.9936,90.5,82.3
16.79616,86.7,80.7
10.077696,79.4,74.5
6.0466176,66.2,69.8
3.62797056,70.8,73.4
2.176782336,66.4,68.8
1.306069402,68.2,67.8
0.783641641,62.6,75.5
0.470184985,69,65.8
0.282110991,71.7,62
0.169266594,65.2,65.3
0.101559957,67.8,66.2
0.060935974,72.5,70
0.036561584,67.5,70.2
0.021936951,73.9,66.8
0,73,69.2
0,65.6,65.1
