conc,fp1,fp2
1000,272.6,274.9
600,275.5,269.5
360,261.3,260.8
216,260.1,257.4
129.6,245.9,243.1
77.76,240.4,229.8
46.656,235.4,222.5
27.9936,216,213.3
16.79616,210,212.3
10.077696,189.9,181.2
6.0466176,151,147.1
3.62797056,124.7,118.9
2.176782336,96.1,94.5
1.306069402,82.1,82.1
0.783641641,78.8,72.6
0.470184985,66.3,76.4
0.282110991,68.6,71.5
0.169266594,68.2,69.7
0.101559957,71.6,68
0.060935974,72,74.3
0.036561584,70.7,69.3
0.021936951,69,64.7
0,75.6,73.7
0,69.9,74.3
