concentration,a,b,c
1000,248.7,240.65,239.75
600,244.4,238.55,238.6
360,239.05,234.65,234.75
216,234.95,229,229.2
129.6,222.65,219.85,212.1
77.76,209.45,202.3,192.05
46.656,184.65,179.55,174.75
27.9936,167.15,167.75,162.95
16.79616,157.45,160.65,156.1
10.077696,155.65,158.1,155.65
6.0466176,154.5,157.65,155.6
3.62797056,154,158.85,154.65
2.17678234,153.85,159.4,156.3
1.3060694,154.85,159.6,154.3
0.78364164,156.45,158.8,154.2
0.47018498,154.4,158.4,154.9
0.28211099,155.9,159.9,155.3
0.16926659,156.5,159.7,154.55
0.10155996,156,157.7,153.55
0.06093597,154.6,159.25,154.3
0.03656158,154.75,157.1,154.05
0.02193695,154.15,156.5,151.7
0,152.45,152.3,152.45
0,149.15,150.3,148.95
