conc,fret1,fret2,fret3
18500,82293.9807,77736.8995,75368.3545
11100,86635.8115,79862.36,78165.135
6660,83171.1294,83503.577,77734.7278
3996,91518.0072,91756.8395,92285.7371
2397.6,92557.2543,84371.405,92254.1194
1438.56,80557.6358,84747.9563,106444.804
863.136,70375.5899,81764.6527,84256.6236
517.8816,53671.0403,66068.9959,65296.433
310.72896,36000.2308,48365.7275,46538.1675
186.437376,23406.1529,32588.2088,32498.5814
111.8624256,14104.9801,21974.1609,21432.0025
67.11745536,8474.75156,13935.7157,14201.0937
40.27047322,4839.33628,9169.38511,8839.16528
24.16228393,3376.23885,5639.59096,4203.00215
14.49737036,1714.72839,3411.03235,2175.0256
8.698422215,1296.78527,2214.27639,2085.25325
5.219053329,508.31551,1366.44555,1164.77799
3.131431997,0,893.524793,837.419104
1.878859198,214.189651,308.96434,821.317828
1.127315519,66.5080977,129.607712,139.222177
0.676389311,518.897779,212.087409,431.374116
0.405833587,58.8650103,18.7085104,587.881461
0,343.716324,137.462694,531.538017
0,248.582297,0,0
