conc,fret1,fret2,fret3
18500,99107.3401,99288.3284,97582.8578
11100,94858.6598,81906.5424,84693.8724
6660,80161.6336,77113.3967,79277.2305
3996,66081.3736,61789.2365,62779.7004
2397.6,47020.5195,45075.7561,46206.4401
1438.56,33762.5955,30581.4368,31239.6914
863.136,21754.812,22567.1181,20141.7762
517.8816,15390.0988,14135.7302,14246.096
310.72896,8704.33564,9250.136,8103.20125
186.437376,5114.61562,5558.9131,5504.27288
111.8624256,3239.92905,4121.30865,3329.95678
67.11745536,2992.45242,2867.89733,2393.05864
40.27047322,1219.91559,2025.83924,1387.75676
24.16228393,934.625813,1059.20328,1153.08052
14.49737036,688.175796,724.268046,364.685916
8.698422215,420.082747,456.402311,374.202868
5.219053329,147.368586,464.691744,205.694747
3.131431997,317.536901,414.493657,98.3143432
1.878859198,96.0450876,177.491206,209.181618
1.127315519,172.025787,78.24377,162.224799
0.676389311,18.8482722,84.5096737,171.154113
0.405833587,0,0,86.9060185
0,43.6642026,222.600955,0
0,214.534768,131.481644,153.941048
