concentration,fp1,fp2,fp3
1000,281.5,283.2,282.05
600,279.05,284.25,276.5
360,281.75,278.35,271.8
216,277.65,270.6,270.65
129.6,274.55,268.6,256.7
77.76,268.8,257.25,253.05
46.656,260.15,244.35,233
27.9936,237.9,217.2,207.75
16.79616,217.45,196.15,181.7
10.077696,176.75,161.7,150.3
6.0466176,150.85,130.4,119.85
3.62797056,121.95,103.3,102.95
2.176782336,98.85,92.9,82.4
1.306069402,88.6,78.8,74.15
0.783641641,81.75,73.3,71.95
0.470184985,72.15,72.15,68.3
0.282110991,73.65,66.95,75.5
0.169266594,76.2,71.95,66.5
0.101559957,69.4,68.35,65.9
0.060935974,68.8,67.35,64.7
0.036561584,72.1,65.75,72.85
0.021936951,71.4,66,65.45
0,68.8,62.7,62.05
0,66.55,67.4,68.1
