conc,FP
1000,276.4
600,242.6
360,139.9
216,96.5
129.6,83.4
77.76,82.5
46.656,83.3
27.9936,83
16.79616,78.6
10.077696,81.3
6.0466176,78.6
3.62797056,74.9
2.176782336,79.6
1.306069402,79.2
0.783641641,75.4
0.470184985,82.8
0.282110991,80.4
0.169266594,82.2
0.101559957,81.4
0.060935974,78.4
0.036561584,78.5
0.021936951,70.1
0,78
0,79
