conc,FP
1000,258.7
600,261.4
360,261.1
216,261.1
129.6,263.5
77.76,277.8
46.656,280.8
27.9936,286.7
16.79616,283.1
10.077696,284.9
6.0466176,279.6
3.62797056,263.8
2.176782336,208.7
1.306069402,158.8
0.783641641,117.4
0.470184985,92.5
0.282110991,78.6
0.169266594,73.5
0.101559957,65.9
0.060935974,70.5
0.036561584,70.6
0.021936951,73.6
0,65.2
0,71.1
