conc,FP
1000,255.9
600,264.3
360,279.3
216,282.2
129.6,277.3
77.76,273.6
46.656,263.1
27.9936,254.9
16.79616,238.7
10.077696,214.9
6.0466176,184.3
3.62797056,156.5
2.176782336,120.4
1.306069402,89.1
0.783641641,75.9
0.470184985,79.5
0.282110991,75.6
0.169266594,77.6
0.101559957,69.5
0.060935974,66.1
0.036561584,72.5
0.021936951,76
0,73.1
0,66.4
