conc,FP
1000,263.8
600,268.6
360,266.2
216,266.3
129.6,259.6
77.76,255.3
46.656,254.6
27.9936,254.9
16.79616,257.8
10.077696,271.4
6.0466176,278
3.62797056,250.8
2.176782336,191.4
1.306069402,134.6
0.783641641,100.3
0.470184985,84.4
0.282110991,72.3
0.169266594,70.6
0.101559957,69.4
0.060935974,65.5
0.036561584,69.5
0.021936951,64.3
0,69.3
0,68
