conc,FP
1000,259.2
600,282.4
360,241.5
216,177.6
129.6,146.1
77.76,112.6
46.656,101
27.9936,99.4
16.79616,89.3
10.077696,86.6
6.0466176,82.6
3.62797056,80.3
2.176782336,79.7
1.306069402,73.3
0.783641641,80.6
0.470184985,79.6
0.282110991,78.2
0.169266594,72
0.101559957,79
0.060935974,77.7
0.036561584,75.3
0.021936951,79.3
0,75.4
0,79
