conc,FP
1000,259.4
600,278.1
360,274.8
216,250.1
129.6,234.8
77.76,192
46.656,167.8
27.9936,153.6
16.79616,119.2
10.077696,111.8
6.0466176,94.5
3.62797056,85.5
2.176782336,81.1
1.306069402,84.2
0.783641641,76.6
0.470184985,69.7
0.282110991,75.5
0.169266594,72.5
0.101559957,71.7
0.060935974,79.1
0.036561584,75.4
0.021936951,77.1
0,71.8
0,71.2
