conc,FP
1000,281.4
600,274.9
360,273.3
216,273
129.6,271
77.76,252.1
46.656,247.4
27.9936,237.4
16.79616,232.5
10.077696,219.3
6.0466176,209
3.62797056,185.4
2.176782336,162.6
1.306069402,137.7
0.783641641,111.7
0.470184985,91.7
0.282110991,82.3
0.169266594,72.2
0.101559957,73.2
0.060935974,72.7
0.036561584,70.2
0.021936951,69.3
0,71.5
0,71.2
