conc,FP
1000,276.3
600,249.6
360,190.6
216,150
129.6,104.9
77.76,89.2
46.656,83.2
27.9936,83.3
16.79616,81
10.077696,75.1
6.0466176,76.3
3.62797056,75.7
2.176782336,78.8
1.306069402,80.1
0.783641641,77.3
0.470184985,78.3
0.282110991,76
0.169266594,72.6
0.101559957,73.3
0.060935974,74.6
0.036561584,74.7
0.021936951,74.6
0,77.7
0,74.5
