conc,FP
1000,259.1
600,263.6
360,263.7
216,254
129.6,263.1
77.76,254.8
46.656,263
27.9936,267.6
16.79616,279.3
10.077696,288.3
6.0466176,286.5
3.62797056,280
2.176782336,243.2
1.306069402,172
0.783641641,120.2
0.470184985,90.7
0.282110991,81
0.169266594,75.7
0.101559957,73.6
0.060935974,72.8
0.036561584,70.5
0.021936951,73.9
0,67.2
0,62.6
